0.43,2.994,,,,,,,
0.436,2.986,,,,,,,
0.441,2.979,,,,,,,
0.447,2.972,,,,,,,
0.452,2.966,,,,,,,
0.458,2.961,,,,,,,
0.465,2.957,,,,,,,
0.472,2.956,,,,,,,
0.479,2.954,,,,,,,
0.487,2.954,,,,,,,
0.494,2.954,,,,,,,
0.501,2.953,,,,,,,
0.508,2.954,,,,,,,
0.516,2.954,,,,,,,
0.523,2.955,,,,,,,
0.53,2.955,,,,,,,
0.537,2.953,,,,,,,
0.544,2.95,,,,,,,
0.551,2.947,,,,,,,
0.558,2.941,,,,,,,
0.565,2.932,,,,,,,
0.571,2.918,,,,,,,
0.577,2.902,,,,,,,
0.583,2.882,,,,,,,
0.589,2.857,,,,,,,
0.594,2.828,,,,,,,
0.599,2.797,,,,,,,
0.604,2.763,,,,,,,
0.608,2.733,,,,,,,
0.612,2.689,,,,,,,
0.617,2.636,,,,,,,
0.621,2.582,,,,,,,
0.625,2.528,,,,,,,
0.628,2.473,,,,,,,
0.631,2.416,,,,,,,
0.634,2.359,,,,,,,
0.637,2.3,,,,,,,
0.64,2.242,,,,,,,
0.643,2.183,,,,,,,
0.646,2.124,,,,,,,
0.648,2.065,,,,,,,
0.651,2.006,,,,,,,
0.654,1.949,,,,,,,
0.656,1.888,,,,,,,
0.66,1.831,,,,,,,
0.663,1.773,,,,,,,
0.666,1.715,,,,,,,
0.669,1.656,,,,,,,
0.672,1.599,,,,,,,
0.676,1.54,,,,,,,
0.678,1.484,,,,,,,
0.682,1.426,,,,,,,
0.685,1.366,,,,,,,
0.689,1.31,,,,,,,
0.692,1.251,,,,,,,
0.696,1.194,,,,,,,
0.699,1.134,,,,,,,
0.703,1.076,,,,,,,
0.707,1.019,,,,,,,
0.711,0.966,,,,,,,
0.715,0.91,,,,,,,
0.72,0.851,,,,,,,
0.724,0.796,,,,,,,
0.729,0.738,,,,,,,
0.734,0.683,,,,,,,
0.739,0.627,,,,,,,
0.743,0.574,,,,,,,
0.748,0.519,,,,,,,
0.753,0.461,,,,,,,
0.76,0.41,,,,,,,
0.766,0.352,,,,,,,
0.773,0.302,,,,,,,
0.78,0.248,,,,,,,
0.787,0.201,,,,,,,
0.794,0.141,,,,,,,
0.801,0.09,,,,,,,
0.808,0.043,,,,,,,
0.816,-0.011,,,,,,,
0.821,-0.064,,,,,,,
0.817,-0.045,,,,,,,
0.813,-0.022,,,,,,,
0.809,0.003,,,,,,,
0.811,-0.013,,,,,,,
0.812,-0.026,,,,,,,
0.818,-0.06,,,,,,,
0.824,-0.1,,,,,,,
0.83,-0.141,,,,,,,
0.837,-0.183,,,,,,,
0.843,-0.224,,,,,,,
0.849,-0.265,,,,,,,
0.856,-0.304,,,,,,,
0.862,-0.343,,,,,,,
0.869,-0.385,,,,,,,
0.876,-0.425,,,,,,,
0.882,-0.463,,,,,,,
0.889,-0.504,,,,,,,
0.896,-0.542,,,,,,,
0.903,-0.581,,,,,,,
0.91,-0.621,,,,,,,
0.917,-0.66,,,,,,,
0.924,-0.699,,,,,,,
0.931,-0.74,,,,,,,
0.938,-0.778,,,,,,,
0.945,-0.818,,,,,,,
0.953,-0.855,,,,,,,
0.96,-0.893,,,,,,,
0.968,-0.932,,,,,,,
0.975,-0.968,,,,,,,
0.982,-1.011,,,,,,,
0.99,-1.049,,,,,,,
0.998,-1.083,,,,,,,
1.005,-1.125,,,,,,,
1.013,-1.162,,,,,,,
1.02,-1.201,,,,,,,
1.028,-1.235,,,,,,,
1.036,-1.275,,,,,,,
1.044,-1.312,,,,,,,
1.052,-1.35,,,,,,,
1.063,-1.38,,,,,,,
1.073,-1.416,,,,,,,
1.084,-1.447,,,,,,,
1.094,-1.479,,,,,,,
1.104,-1.513,,,,,,,
1.114,-1.548,,,,,,,
1.125,-1.585,,,,,,,
1.134,-1.614,,,,,,,
1.145,-1.645,,,,,,,
1.155,-1.685,,,,,,,
1.164,-1.717,,,,,,,
1.174,-1.751,,,,,,,
1.184,-1.786,,,,,,,
1.194,-1.813,,,,,,,
1.204,-1.85,,,,,,,
1.214,-1.879,,,,,,,
1.224,-1.918,,,,,,,
1.233,-1.949,,,,,,,
1.243,-1.98,,,,,,,
1.253,-2.013,,,,,,,
1.263,-2.036,,,,,,,
1.276,-2.067,,,,,,,
1.289,-2.099,,,,,,,
1.302,-2.121,,,,,,,
1.316,-2.155,,,,,,,
1.329,-2.178,,,,,,,
1.342,-2.202,,,,,,,
1.356,-2.226,,,,,,,
1.369,-2.251,,,,,,,
1.383,-2.277,,,,,,,
1.396,-2.304,,,,,,,
1.41,-2.331,,,,,,,
1.423,-2.36,,,,,,,
1.437,-2.374,,,,,,,
1.451,-2.405,,,,,,,
1.464,-2.42,,,,,,,
1.478,-2.452,,,,,,,
1.492,-2.468,,,,,,,
1.506,-2.499,,,,,,,
1.52,-2.521,,,,,,,
